model,train_trial_index,score,sub_split,balanced_score,n_samples,scenario
AlephAlpha_luminous-base,1.0485714285714285,0.39714285714285713,,0.39714285714285713,700,raft
AlephAlpha_luminous-extended,1.0485714285714285,0.5142857142857142,,0.5142857142857142,700,raft
AlephAlpha_luminous-supreme,1.0485714285714285,0.7857142857142857,,0.7857142857142857,700,raft
ai21_j1-grande,1.0485714285714285,0.7814285714285715,,0.7814285714285715,700,raft
ai21_j1-grande-v2-beta,1.0485714285714285,0.8171428571428572,,0.8171428571428572,700,raft
ai21_j1-jumbo,1.0485714285714285,0.8614285714285714,,0.8614285714285714,700,raft
ai21_j1-large,1.0485714285714285,0.5628571428571428,,0.5628571428571428,700,raft
anthropic_stanford-online-all-v4-s3,1.0485714285714285,0.8042857142857143,,0.8042857142857143,700,raft
cohere_command-medium-beta,1.0485714285714285,0.78,,0.78,700,raft
cohere_command-xlarge-beta,1.0485714285714285,0.8657142857142858,,0.8657142857142858,700,raft
cohere_large-20220720,1.0485714285714285,0.7042857142857143,,0.7042857142857143,700,raft
cohere_medium-20220720,1.0485714285714285,0.5157142857142857,,0.5157142857142857,700,raft
cohere_medium-20221108,1.0485714285714285,0.6485714285714286,,0.6485714285714286,700,raft
cohere_small-20220720,1.0485714285714285,0.45285714285714285,,0.45285714285714285,700,raft
cohere_xlarge-20220609,1.0485714285714285,0.75,,0.75,700,raft
cohere_xlarge-20221108,1.0485714285714285,0.67,,0.67,700,raft
microsoft_TNLGv2_530B,1.0485714285714285,0.7942857142857143,,0.7942857142857143,700,raft
microsoft_TNLGv2_7B,1.0485714285714285,0.48142857142857143,,0.48142857142857143,700,raft
openai_ada,1.0485714285714285,0.3514285714285714,,0.3514285714285714,700,raft
openai_babbage,1.0485714285714285,0.3242857142857143,,0.3242857142857143,700,raft
openai_curie,1.0485714285714285,0.43714285714285717,,0.43714285714285717,700,raft
openai_davinci,1.0485714285714285,0.7785714285714286,,0.7785714285714286,700,raft
openai_text-ada-001,1.0485714285714285,0.31142857142857144,,0.31142857142857144,700,raft
openai_text-babbage-001,1.0485714285714285,0.4114285714285714,,0.4114285714285714,700,raft
openai_text-curie-001,1.0485714285714285,0.4342857142857143,,0.4342857142857143,700,raft
openai_text-davinci-002,1.0485714285714285,0.9014285714285715,,0.9014285714285715,700,raft
openai_text-davinci-003,1.0485714285714285,0.9142857142857143,,0.9142857142857143,700,raft
together_bloom,1.0485714285714285,0.5871428571428572,,0.5871428571428572,700,raft
together_glm,1.0485714285714285,0.6528571428571428,,0.6528571428571428,700,raft
together_gpt-j-6b,1.0485714285714285,0.6242857142857143,,0.6242857142857143,700,raft
together_gpt-neox-20b,1.0485714285714285,0.47285714285714286,,0.47285714285714286,700,raft
together_opt-175b,1.0485714285714285,0.6528571428571428,,0.6528571428571428,700,raft
together_opt-66b,1.0485714285714285,0.5242857142857142,,0.5242857142857142,700,raft
together_t0pp,1.0485714285714285,0.15714285714285714,,0.15714285714285714,700,raft
together_t5-11b,1.0485714285714285,0.39571428571428574,,0.39571428571428574,700,raft
together_ul2,1.0485714285714285,0.3342857142857143,,0.3342857142857143,700,raft
together_yalm,1.0485714285714285,0.23857142857142857,,0.23857142857142857,700,raft
AlephAlpha_luminous-base,1.0485714285714285,0.39714285714285713,,0.39714285714285713,700,raft
AlephAlpha_luminous-extended,1.0485714285714285,0.5142857142857142,,0.5142857142857142,700,raft
AlephAlpha_luminous-supreme,1.0485714285714285,0.7857142857142857,,0.7857142857142857,700,raft
ai21_j1-grande,1.0485714285714285,0.7814285714285715,,0.7814285714285715,700,raft
ai21_j1-grande-v2-beta,1.0485714285714285,0.8171428571428572,,0.8171428571428572,700,raft
ai21_j1-jumbo,1.0485714285714285,0.8614285714285714,,0.8614285714285714,700,raft
ai21_j1-large,1.0485714285714285,0.5628571428571428,,0.5628571428571428,700,raft
anthropic_stanford-online-all-v4-s3,1.0485714285714285,0.8042857142857143,,0.8042857142857143,700,raft
